date current wind salinity temperature
2010-12-22 0.560447 10.211518 35.173897 24.87184
2010-12-23 0.4797167 8.569142 35.267532 24.965776
2010-12-24 0.47153494 8.717965 35.274002 25.099874
2010-12-25 0.4450158 10.9007015 35.268787 25.117758
2010-12-26 0.39937934 8.2312565 35.22853 25.296207
2010-12-27 0.41899177 10.091801 35.166424 25.660265
2010-12-28 0.5318088 8.818898 34.92294 25.810547
2010-12-29 0.4899714 10.911007 35.04293 25.436468
2010-12-30 0.45788392 10.068039 35.069687 25.35737
2010-12-31 0.45305315 10.784565 35.0927 25.336042
2011-01-01 0.41344914 8.5147 35.137127 25.529493
2011-01-02 0.42362425 6.5389857 35.14992 25.647371
2011-01-03 0.448584 3.6865962 35.160423 25.714727
2011-01-04 0.45385677 3.3946848 35.171307 25.768976
2011-01-05 0.45086384 4.0962157 35.181145 25.816359
2011-01-06 0.44946548 3.8416927 35.149082 25.833055
2011-01-07 0.46851876 3.3019683 35.065804 25.774593
2011-01-08 0.44033176 3.5676491 35.069252 25.925669
2011-01-09 0.3587424 4.609194 35.068413 25.856287
2011-01-10 0.30250323 2.113651 35.034866 26.001753
2011-01-11 0.27611294 3.0314403 34.92939 26.247509
2011-01-12 0.20423637 7.8775086 34.82418 26.353472
2011-01-13 0.27057272 10.047839 34.91569 26.153893
2011-01-14 0.29828307 9.498247 35.091663 25.85983
2011-01-15 0.31082267 8.208473 35.197952 25.696754
2011-01-16 0.3693283 7.371217 35.22701 25.612274
2011-01-17 0.44859093 4.830152 35.229702 25.629522
2011-01-18 0.49016947 6.2533584 35.094303 26.050623
2011-01-19 0.54427135 3.8961668 34.811974 26.442757
2011-01-20 0.5966003 6.391976 34.680878 26.240406
2011-01-21 0.6206398 10.710917 35.059353 25.768202
2011-01-22 0.55217105 10.210557 35.180904 25.649027
2011-01-23 0.5254148 9.658882 35.204433 25.70887
2011-01-24 0.450958 8.690726 35.224945 25.651854
2011-01-25 0.4001347 6.0996113 35.227257 25.716883
2011-01-26 0.34092137 8.849223 35.24362 25.660501
2011-01-27 0.29600438 10.455123 35.275875 25.50297
2011-01-28 0.28040808 8.619257 35.2866 25.43642
2011-01-29 0.3567498 12.139424 35.29511 25.362995
2011-01-30 0.42177108 12.831562 35.297592 25.42569
2011-01-31 0.42734534 8.977421 35.288933 25.628145
2011-02-01 0.44611388 7.4248962 35.27996 25.820044
2011-02-02 0.46221787 8.431076 35.270874 25.924282
2011-02-03 0.4672027 6.3523903 35.26881 25.927896
2011-02-04 0.48104712 6.1322613 35.26026 25.968058
2011-02-05 0.46801704 6.9665513 35.249603 26.01506
2011-02-06 0.42879692 4.4457326 35.22356 26.14845
2011-02-07 0.43099806 6.474803 35.22401 26.1255
2011-02-08 0.35738078 8.169443 35.243237 25.976393
2011-02-09 0.35139388 10.304191 35.226658 25.851051
2011-02-10 0.28567308 11.142468 35.23364 25.835493
2011-02-11 0.21262293 8.589066 35.245964 25.885754
2011-02-12 0.21424708 5.864048 35.24822 25.953968
2011-02-13 0.27331963 6.0828977 35.24863 26.035213
2011-02-14 0.38978535 10.453709 35.235474 25.969677
2011-02-15 0.46385202 11.005788 35.22289 25.9689
2011-02-16 0.49717358 9.378083 35.230263 26.114542
2011-02-17 0.53764105 8.770451 35.22889 26.134146
2011-02-18 0.56663936 9.314156 35.22836 26.128138
2011-02-19 0.57979673 7.7259583 35.222652 26.132732
2011-02-20 0.57879305 4.458772 35.226383 26.140667
2011-02-21 0.5530076 2.9048676 35.233173 26.123692
2011-02-22 0.5597634 9.873574 35.236084 26.014898
2011-02-23 0.52256715 13.553039 35.247105 25.751219
2011-02-24 0.40609857 10.817132 35.234993 25.984552
2011-02-25 0.23544827 7.2128167 35.242905 25.994207
2011-02-26 0.2562321 5.905957 35.24836 26.035784
2011-02-27 0.3069313 4.478219 35.250595 26.09003
2011-02-28 0.36729684 3.4975314 35.254482 26.135834
2011-03-01 0.42095792 2.1419141 35.25856 26.178263
2011-03-02 0.45575678 3.0466144 35.26355 26.193388
2011-03-03 0.48328006 3.1858706 35.26614 26.200352
2011-03-04 0.48962253 3.3824897 35.26905 26.205334
2011-03-05 0.49830142 5.371438 35.26241 26.221283
2011-03-06 0.57088864 14.636445 35.277405 25.963078
2011-03-07 0.51883 12.609027 35.266743 26.107307
2011-03-08 0.4003996 10.023242 35.27156 26.114357
2011-03-09 0.33488685 7.685018 35.276077 26.131807
2011-03-10 0.27871877 6.379064 35.278236 26.166807
2011-03-11 0.21587843 7.857007 35.28372 26.130802
2011-03-12 0.17626083 10.524298 35.277157 26.02443
2011-03-13 0.22041295 10.688988 35.272186 25.918903
2011-03-14 0.24904391 7.970001 35.263424 25.915937
2011-03-15 0.35464114 7.9071064 35.255474 25.9085
2011-03-16 0.44905677 6.644104 35.258163 25.874063
2011-03-17 0.5218614 6.0462575 35.25835 25.846207
2011-03-18 0.5891621 3.0631106 35.254734 25.7923
2011-03-19 0.6185965 4.59987 35.246944 25.750875
2011-03-20 0.61299276 7.238568 35.215458 25.75855
2011-03-21 0.61004865 5.6121864 35.192135 25.860048
2011-03-22 0.58607113 6.9351797 35.18018 26.066265
2011-03-23 0.5387656 3.796169 35.162468 26.255724
2011-03-24 0.4339336 2.6546352 35.126953 26.555122
2011-03-25 0.36845428 4.8217072 35.1067 26.463621
2011-03-26 0.29884735 6.9675236 35.137077 26.083046
2011-03-27 0.3234361 11.341635 35.155327 25.78765
2011-03-28 0.4894054 13.62024 35.164936 25.81701
2011-03-29 0.40649801 10.728168 35.190865 25.904745
2011-03-30 0.39555898 7.865971 35.202713 25.948572
2011-03-31 0.41299728 7.446507 35.2103 25.917114
2011-04-01 0.44230536 9.586279 35.21628 25.878382
2011-04-02 0.45849833 8.475984 35.214897 25.87116
2011-04-03 0.46846032 11.528854 35.221413 25.837917
2011-04-04 0.4840477 12.350126 35.24382 25.785227
2011-04-05 0.45483297 11.482504 35.26144 25.759848
2011-04-06 0.44632873 11.980779 35.280464 25.736795
2011-04-07 0.38944528 11.580111 35.295662 25.699852
2011-04-08 0.32923302 10.4612255 35.30175 25.648642
2011-04-09 0.29140347 10.168977 35.304974 25.58838
2011-04-10 0.17950408 6.11774 35.309875 25.552147
2011-04-11 0.18643524 2.793238 35.30763 25.570978
2011-04-12 0.2549785 2.4444559 35.307766 25.570953
2011-04-13 0.36380994 3.0033119 35.3129 25.53252
2011-04-14 0.4563987 3.1214635 35.320633 25.45729
2011-04-15 0.5007742 3.9055197 35.321167 25.433752
2011-04-16 0.5475702 5.1196074 35.32103 25.436386
2011-04-17 0.56875664 7.6872005 35.321186 25.400368
2011-04-18 0.5648668 8.609639 35.316628 25.334484
2011-04-19 0.54192275 6.605854 35.29746 25.370375
2011-04-20 0.5060094 8.909381 35.29244 25.361565
2011-04-21 0.4373944 7.0052032 35.291355 25.332457
2011-04-22 0.36558574 6.753694 35.293976 25.298164
2011-04-23 0.29834569 7.282001 35.30129 25.239305
2011-04-24 0.30475286 10.009136 35.311382 25.146605
2011-04-25 0.3117747 10.574252 35.312836 25.123585
2011-04-26 0.33020452 10.298879 35.317707 25.110373
2011-04-27 0.37392884 11.77429 35.323215 24.998209
2011-04-28 0.4261954 12.475897 35.325447 24.84866
2011-04-29 0.44371024 11.479341 35.33257 24.724419
2011-04-30 0.41535574 9.231935 35.336708 24.671799
2011-05-01 0.4236831 5.9342113 35.34207 24.686522
2011-05-02 0.42640525 2.144132 35.345196 24.737488
2011-05-03 0.43146348 1.9584199 35.344006 24.730366
2011-05-04 0.41319472 6.3053565 35.34224 24.648493
2011-05-05 0.39914942 9.09427 35.34648 24.520826
2011-05-06 0.41371444 10.416118 35.353436 24.458843
2011-05-07 0.3450068 5.410193 35.364223 24.493196
2011-05-08 0.28203696 2.7079334 35.368553 24.529465
2011-05-09 0.256183 4.3967957 35.245735 24.437906
2011-05-10 0.25878164 7.6475887 35.34929 24.402477
2011-05-11 0.2755073 5.2008657 35.35216 24.270111
